fecha,activo,direccion,precio_entrada,precio_salida,cantidad,pnl,estado_emocional,notas
2025-09-03,AAPL,long,180.00,185.50,10,55.00,Calm,"Seguí mi plan al pie de la letra y respeté el stop."
2025-09-05,TSLA,short,250.00,245.00,5,25.00,Calm,"Entrada calculada según mi análisis técnico previo."
2025-09-08,NVDA,long,120.00,118.00,8,-16.00,FOMO,"Entré al ver que subía rápido, sin esperar confirmación."
2025-09-10,MSFT,long,410.00,405.00,6,-30.00,FOMO,"Vi el hype en redes y compré sin plan real."
2025-09-12,GOOGL,short,165.00,170.00,10,-50.00,FOMO,"Perseguí el movimiento, entré tarde y mal."
2025-09-14,AMZN,long,185.00,183.00,12,-24.00,Anxious,"Dudé toda la operación, cerré antes de tiempo."
2025-09-16,META,long,500.00,515.00,4,60.00,Confident,"Tesis clara, ejecución sin dudas."
2025-09-18,AMD,short,145.00,140.00,15,75.00,Calm,"Plan respetado de principio a fin."
2025-09-20,SPY,long,560.00,565.00,10,50.00,Calm,"Operación tranquila, sin sobresaltos."
2025-09-23,QQQ,long,480.00,478.00,8,-16.00,Anxious,"Nerviosa desde la entrada, salí antes del target."
2025-09-26,NFLX,short,650.00,640.00,3,30.00,Confident,"Análisis sólido, resultado esperado."
2025-09-29,BA,long,175.00,172.00,10,-30.00,FOMO,"Entré por miedo a perderme la subida, mal timing."
2025-10-02,JPM,long,210.00,214.00,12,48.00,Calm,"Ejecución tranquila conforme al plan semanal."
2025-10-05,XOM,short,115.00,118.00,20,-60.00,FOMO,"Reaccioné a una noticia sin analizarla bien."
2025-10-08,DIS,long,95.00,99.00,15,60.00,Confident,"Convicción alta, tesis se cumplió."
2025-10-11,INTC,long,22.00,21.00,50,-50.00,Anxious,"Ansiedad por el tamaño de la posición, cerré mal."
2025-10-15,PYPL,short,70.00,66.00,25,100.00,Calm,"Paciencia hasta el nivel planeado."
2025-10-19,SHOP,long,80.00,84.00,20,80.00,Confident,"Entrada y salida según el plan, sin dudas."
